Vintage.Quarter,pdm,slope
1974,4.4622,-0.5816
1974.25,4.3145,-0.0868
1974.5,3.9929,0.2728
1974.75,4.0561,0.2956
1975,4.2467,1.5337
1975.25,4.3803,2.3499
1975.5,4.2406,1.8712
1975.75,4.3096,2.2215
1976,4.4436,2.5498
1976.25,4.4342,2.327
1976.5,4.4137,2.158
1976.75,4.3975,1.7727
1977,4.2867,2.1537
1977.25,4.2806,1.9887
1977.5,4.2156,1.4802
1977.75,4.1812,1.2715
1978,4.1082,1.4254
1978.25,4.1587,1.7003
1978.5,4.2118,1.1146
1978.75,4.1051,0.2708
1979,4.1477,-0.2008
1979.25,4.1428,-0.267
1979.5,4.1798,-0.5622
1979.75,4.1497,-1.1925
1980,4.039,-1.1187
1980.25,4.1512,0.717
1980.5,4.2295,1.4909
1980.75,4.287,-0.9809
1981,4.2749,-1.2002
1981.25,4.235,-0.7276
1981.5,4.0759,0.3646
1981.75,4.1222,2.4059
1982,4.0038,1.5493
1982.25,3.9656,1.6521
1982.5,4.0472,3.7861
1982.75,4.2073,2.5545
1983,4.2901,2.01
1983.25,4.4003,1.841
1983.5,4.3738,2.2914
1983.75,4.3425,2.6128
1984,4.2933,2.4823
1984.25,4.2352,3.223
1984.5,4.3028,2.5154
1984.75,4.2873,2.7034
1985,4.3558,3.0145
1985.25,4.4046,2.8656
1985.5,4.327,2.6648
1985.75,4.4577,2.0701
1986,4.5697,1.2688
1986.25,4.5997,1.2598
1986.5,4.5046,1.4068
1986.75,4.4916,1.3986
1987,4.665,1.2043
1987.25,4.6636,2.2895
1987.5,4.6782,2.3748
1987.75,4.3985,2.7691
1988,4.4064,2.1768
1988.25,4.4519,2.2157
1988.5,4.4091,1.7586
1988.75,4.3508,1.0755
1989,4.4036,0.7784
1989.25,4.4281,0.4078
1989.5,4.4922,0.1897
1989.75,4.5183,0.1894
1990,4.4744,0.6237
1990.25,4.5049,0.8976
1990.5,4.3472,0.9479
1990.75,4.4052,1.0453
1991,4.5431,1.6287
1991.25,4.5443,2.2148
1991.5,4.5981,2.1252
1991.75,4.6852,2.0216
1992,4.6673,2.7015
1992.25,4.6654,2.9698
1992.5,4.6881,2.5246
1992.75,4.7485,2.8332
1993,4.7771,2.5067
1993.25,4.774,2.2162
1993.5,4.8011,1.9481
1993.75,4.8094,1.9179
1994,4.7601,2.2551
1994.25,4.7366,2.6849
1994.5,4.7804,2.4785
1994.75,4.7462,2.3546
1995,4.8177,1.6369
1995.25,4.8901,0.7825
1995.5,4.9319,0.7256
1995.75,4.9585,0.4331
1996,4.9919,0.6424
1996.25,5.0184,1.465
1996.5,5.0424,1.4422
1996.75,5.0869,1.1341
1997,5.0765,1.2987
1997.25,5.2192,1.5236
1997.5,5.295,1.0822
1997.75,5.2909,0.7471
1998,5.4046,0.4572
1998.25,5.3982,0.6097
1998.5,5.2498,0.302
1998.75,5.4374,0.1334
1999,5.4554,0.4953
1999.25,5.4883,0.9887
1999.5,5.4076,1.125
1999.75,5.5761,1.0236
2000,5.6159,1.0632
2000.25,5.5968,0.7111
2000.5,5.6153,0.0416
2000.75,5.5075,-0.461
2001,5.3841,-0.0262
2001.25,5.4683,1.1754
2001.5,5.2778,1.3408
2001.75,5.3962,2.1782
2002,5.3978,2.7395
2002.25,5.2498,2.7371
2002.5,5.0722,1.716
2002.75,5.13,1.6752
2003,5.0847,1.7551
2003.25,5.206,1.53
2003.5,5.2113,2.2081
2003.75,5.2765,2.328
2004,5.2623,2.0643
2004.25,5.2199,2.6443
2004.5,5.1765,2.019
2004.75,5.1199,1.487
2005,5.0538,1.3542
2005.25,5.0473,1.0096
2005.5,5.0646,0.6794
2005.75,5.1529,0.5645
2006,5.1727,0.1591
2006.25,5.106,0.2898
2006.5,5.1161,-0.0644
2006.75,5.1396,-0.3016
2007,5.0977,-0.3399
2007.25,5.0746,0.0241
2007.5,5.0233,0.2094
2007.75,4.9318,0.4076
2008,4.8252,0.7081
2008.25,4.8,1.5283
2008.5,4.6773,1.6195
2008.75,4.4207,1.8761
2009,4.2972,1.548
2009.25,4.5297,2.0684
2009.5,4.7442,2.3108
2009.75,4.8324,2.2475
2010,4.9349,2.3207
2010.25,4.8067,2.1082
2010.5,4.8685,1.3883
2010.75,4.9245,1.3667
2011,4.9561,1.9927
2011.25,4.9058,1.8078
2011.5,4.7049,1.1207
2011.75,4.7966,0.9393
2012,4.8535,0.8317
2012.25,4.7825,0.7022
2012.5,4.799,0.5656
2012.75,4.7221,0.6035
2013,4.8032,0.736
2013.25,4.7789,0.8594
2013.5,4.8015,1.4704
2013.75,4.9222,1.3757
2014,4.9054,1.5568
2014.25,4.9294,1.6243
2014.5,4.8864,1.6749
2014.75,4.8828,1.5776
2015,4.8622,1.4305
2015.25,4.8321,1.5052
2015.5,4.7205,1.5158
2015.75,4.7453,1.4609
2016,4.7437,1.0832
2016.25,4.7692,0.9838
2016.5,4.7747,0.8319
2016.75,4.8086,1.1848
2017,4.8406,1.3579
2017.25,4.8462,0.9211
2017.5,4.8495,0.7768
2017.75,4.8804,0.8625
